data;date;place;place2;latitude;longitude
#gempa dirasakan magnitudo: 3.2, kedalaman: 7 km, 20 jan 2023 06:55:33 wib, koordinat: 4.14 ls-121.62 bt (pusat gempa berada di darat 4 km timurlaut pomala, kabupaten kolaka) #bmkg;2022-01-20;kolaka;;-4.14;121.62
"#gempa mag:3.2, 20-jan-2023 06:55:32wib, lok:4.18ls, 121.54bt (15 km baratdaya kolaka-sultra), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-20;kolaka;sultra;-4.18;121.54
"#gempa mag:4.0, 20-jan-2023 04:49:05wib, lok:2.75lu, 127.09bt (146 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-20;melonguane;sulut;2.75;127.09
"#gempa mag:4.6, 20-jan-2023 03:35:21wib, lok:2.67lu, 127.07bt (146 km baratlaut tobelo-malut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-20;tobelo;malut;2.67;127.07
"#gempa mag:4.0, 20-jan-2023 03:18:16wib, lok:2.79lu, 127.12bt (143 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-20;melonguane;sulut;2.79;127.12
"#gempa mag:4.1, 20-jan-2023 02:05:06wib, lok:0.05ls, 98.45bt (99 km tenggara niasselatan-sumut), kedlmn:47 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-20;niasselatan;sumut;-0.05;98.45
"#gempa mag:2.2, 20-jan-2023 02:01:04wib, lok:8.75ls, 118.87bt (34 km tenggara kota-bima-ntb), kedlmn:85 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-20;bima;ntb;-8.75;118.87
"#gempa mag:4.5, 20-jan-2023 01:51:39wib, lok:2.54lu, 127.00bt (142 km baratlaut tobelo-malut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-20;tobelo;malut;2.54;127.00
"#gempa mag:3.9, 20-jan-2023 01:20:31wib, lok:3.77ls, 133.51bt (72 km baratdaya kaimana-papuabrt), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-20;kaimana;papuabrt;-3.77;133.51
"#gempa mag:4.6, 20-jan-2023 00:51:31wib, lok:2.84lu, 127.09bt (136 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-20;melonguane;sulut;2.84;127.09
"#gempa mag:2.5, 20-jan-2023 00:30:33wib, lok:1.49lu, 127.57bt (14 km baratlaut halmaherabarat-malut), kedlmn:23 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-20;halmaherabarat;malut;1.49;127.57
"#gempa mag:3.4, 20-jan-2023 00:08:55wib, lok:2.71lu, 127.28bt (134 km baratlaut daruba-malut), kedlmn:15 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-20;daruba;malut;2.71;127.28
"#gempa mag:3.0, 19-jan-2023 23:28:51wib, lok:8.83ls, 123.92bt (62 km tenggara lembata-ntt), kedlmn:26 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;lembata;ntt;-8.83;123.92
"#gempa mag:3.6, 19-jan-2023 22:20:10wib, lok:2.89lu, 127.10bt (131 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;2.89;127.10
"#gempa mag:4.3, 19-jan-2023 21:28:44wib, lok:4.95lu, 127.12bt (116 km timurlaut melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;4.95;127.12
#gempa (update) mag:4.0, 19-jan-23 20:47:39 wib, lok:2.26 ls, 140.79 bt (pusat gempa berada di laut 39 km timurlaut kota jayapura), kedlmn:6 km dirasakan (mmi) iii kota jayapura #bmkg;2022-01-19;jayapura;;-2.26;140.79
#gempa dirasakan magnitudo: 4.0, kedalaman: 6 km, 19 jan 2023 20:47:39 wib, koordinat: 2.26 ls-140.79 bt (pusat gempa berada di laut 39 km timurlaut kota jayapura) #bmkg;2022-01-19;jayapura;;-2.26;140.79
#gempa (update) mag:3.9, 19-jan-23 20:37:28 wib, lok:2.32 ls, 140.77 bt (pusat gempa berada di laut 32 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) iii kota jayapura #bmkg;2022-01-19;jayapura;;-2.32;140.77
#gempa dirasakan magnitudo: 3.9, kedalaman: 10 km, 19 jan 2023 20:37:28 wib, koordinat: 2.32 ls-140.77 bt (pusat gempa berada di laut 32 km timurlaut kota jayapura) #bmkg;2022-01-19;jayapura;;-2.32;140.77
"#gempa mag:4.0, 19-jan-2023 20:48:51wib, lok:2.92lu, 127.08bt (127 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;2.92;127.08
"#gempa mag:3.9, 19-jan-2023 20:37:29wib, lok:2.34ls, 140.74bt (111 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;keerom;papua;-2.34;140.74
"#gempa mag:4.3, 19-jan-2023 20:00:19wib, lok:3.07lu, 127.19bt (117 km tenggara melonguane-sulut), kedlmn:22 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;3.07;127.19
"#gempa mag:4.3, 19-jan-2023 19:29:49wib, lok:2.88lu, 127.17bt (135 km tenggara melonguane-sulut), kedlmn:25 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;2.88;127.17
"#gempa mag:4.8, 19-jan-2023 18:56:53wib, lok:6.45ls, 125.31bt (221 km timurlaut alor-ntt), kedlmn:557 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;alor;ntt;-6.45;125.31
"#gempa mag:3.8, 19-jan-2023 18:54:29wib, lok:3.05lu, 127.20bt (120 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;3.05;127.20
"#gempa mag:5.1, 19-jan-2023 16:14:30wib, lok:5.83lu, 125.96bt (218 km baratlaut melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;5.83;125.96
#gempa mag:5.1, 19-jan-23 16:14:30 wib, lok:5.83 lu,125.96 bt (218 km baratlaut melonguane-sulut), kedlmn:10 km, tdk berpotensi tsunami #bmkg;2022-01-19;melonguane;sulut;5.83;125.96
#gempa magnitudo: 5.1, kedalaman: 10 km, 19 jan 2023 16:14:30 wib, koordinat: 5.83 lu-125.96 bt (218 km baratlaut melonguane-sulut), tidak berpotensi tsunami #bmkg;2022-01-19;melonguane;sulut;5.83;125.96
"#gempa mag:4.3, 19-jan-2023 14:58:26wib, lok:2.91lu, 127.13bt (131 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;2.91;127.13
"#gempa mag:4.3, 19-jan-2023 14:38:34wib, lok:2.74lu, 127.07bt (146 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;2.74;127.07
"#gempa mag:3.2, 19-jan-2023 13:59:03wib, lok:0.28ls, 122.92bt (93 km baratdaya bonebolango-gorontalo), kedlmn:60 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;bonebolango;gorontalo;-0.28;122.92
"#gempa mag:3.6, 19-jan-2023 13:21:00wib, lok:2.86lu, 127.05bt (133 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;2.86;127.05
"#gempa mag:3.9, 19-jan-2023 10:30:39wib, lok:6.58ls, 104.28bt (130 km baratdaya tanggamus-lampung), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;tanggamus;lampung;-6.58;104.28
"#gempa mag:3.8, 19-jan-2023 09:28:14wib, lok:2.41ls, 140.73bt (103 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;keerom;papua;-2.41;140.73
"#gempa mag:3.9, 19-jan-2023 08:55:53wib, lok:1.35lu, 122.96bt (59 km baratlaut boroko-bolmut-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;bolmut;sulut;1.35;122.96
"#gempa mag:4.1, 19-jan-2023 07:52:15wib, lok:2.88lu, 127.08bt (132 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;2.88;127.08
"#gempa mag:3.6, 19-jan-2023 05:50:02wib, lok:2.72lu, 127.26bt (136 km baratlaut daruba-malut), kedlmn:177 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;daruba;malut;2.72;127.26
"#gempa mag:4.6, 19-jan-2023 05:01:22wib, lok:0.43ls, 133.77bt (58 km baratlaut pegununganarfak-papuabrt), kedlmn:13 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;pegununganarfak;papuabrt;-0.43;133.77
"#gempa mag:4.2, 19-jan-2023 03:57:48wib, lok:2.97lu, 127.14bt (125 km tenggara melonguane-sulut), kedlmn:18 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;2.97;127.14
"#gempa mag:3.8, 19-jan-2023 03:38:56wib, lok:3.69lu, 127.17bt (64 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;3.69;127.17
"#gempa mag:1.1, 19-jan-2023 03:35:54wib, lok:3.59ls, 128.10bt (49 km timurlaut buruselatan-maluku), kedlmn:23 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;buruselatan;maluku;-3.59;128.10
"#gempa mag:3.6, 19-jan-2023 03:13:44wib, lok:9.75ls, 113.95bt (171 km baratdaya jembrana-bali), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;jembrana;bali;-9.75;113.95
"#gempa mag:4.7, 19-jan-2023 02:55:02wib, lok:2.54lu, 127.02bt (140 km baratlaut tobelo-malut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;tobelo;malut;2.54;127.02
"#gempa mag:4.8, 19-jan-2023 02:06:09wib, lok:7.21ls, 129.85bt (182 km baratlaut malukutenggarabrt), kedlmn:130 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;malukutenggarabrt;;-7.21;129.85
"#gempa mag:4.4, 19-jan-2023 01:55:37wib, lok:2.79lu, 127.08bt (141 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;2.79;127.08
"#gempa mag:3.7, 19-jan-2023 01:36:40wib, lok:2.85lu, 127.10bt (136 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;2.85;127.10
"#gempa mag:3.3, 19-jan-2023 01:26:00wib, lok:2.66lu, 127.15bt (139 km baratlaut tobelo-malut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;tobelo;malut;2.66;127.15
"#gempa mag:4.4, 19-jan-2023 01:15:35wib, lok:2.79lu, 127.04bt (140 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;melonguane;sulut;2.79;127.04
"#gempa mag:3.4, 19-jan-2023 00:53:58wib, lok:9.02ls, 124.15bt (69 km baratlaut timortengahut-ntt), kedlmn:61 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;timortengahut;ntt;-9.02;124.15
"#gempa mag:3.2, 19-jan-2023 00:53:37wib, lok:2.67lu, 127.12bt (142 km baratlaut tobelo-malut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-19;tobelo;malut;2.67;127.12
"#gempa mag:2.9, 18-jan-2023 23:50:38wib, lok:0.51lu, 121.39bt (51 km tenggara buol-sulteng), kedlmn:66 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;buol;sulteng;0.51;121.39
#gempa (update) mag:5.4, 18-jan-23 23:27:52 wib, lok:10.87 ls, 111.73 bt (pusat gempa berada di laut 306 km tenggara pacitan), kedlmn:10 km dirasakan (mmi) ii trenggalek #bmkg;2022-01-18;pacitan;;-10.87;111.73
#gempa dirasakan magnitudo: 5.4, kedalaman: 10 km, 18 jan 2023 23:27:52 wib, koordinat: 10.87 ls-111.73 bt (pusat gempa berada di laut 306 km tenggara pacitan) #bmkg;2022-01-18;pacitan;;-10.87;111.73
#gempa (update) mag:4.4, 18-jan-23 22:35:23 wib, lok:2.25 ls, 1.39 bt (pusat gempa berada di laut 78 km baratlaut jayapura), kedlmn:22 km dirasakan (mmi) iii kabupaten jayapura #bmkg;2022-01-18;jayapura;;-2.25;1.39
#gempa dirasakan magnitudo: 4.4, kedalaman: 22 km, 18 jan 2023 22:35:23 wib, koordinat: 2.25 ls-1.39 bt (pusat gempa berada di laut 78 km baratlaut jayapura) #bmkg;2022-01-18;jayapura;;-2.25;1.39
"#gempa mag:3.5, 18-jan-2023 23:41:52wib, lok:2.86lu, 127.16bt (137 km tenggara melonguane-sulut), kedlmn:21 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.86;127.16
#gempa magnitudo: 5.4, kedalaman: 10 km, 18 jan 2023 23:27:52 wib, koordinat: 10.87 ls-111.73 bt (306 km tenggara pacitan-jatim), tidak berpotensi tsunami #bmkg;2022-01-18;pacitan;jatim;-10.87;111.73
#gempa mag:5.4, 18-jan-23 23:27:52 wib, lok:10.87 ls,111.73 bt (306 km tenggara pacitan-jatim), kedlmn:10 km, tdk berpotensi tsunami #bmkg;2022-01-18;pacitan;jatim;-10.87;111.73
"#gempa mag:5.6, 18-jan-2023 23:27:51wib, lok:10.95ls, 111.68bt (314 km tenggara pacitan-jatim), kedlmn:15 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;pacitan;jatim;-10.95;111.68
"#gempa mag:3.7, 18-jan-2023 23:19:56wib, lok:7.48ls, 121.67bt (138 km timurlaut mbay-nagekeo-ntt), kedlmn:16 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;nagekeo;ntt;-7.48;121.67
"#gempa mag:3.7, 18-jan-2023 23:15:56wib, lok:2.89lu, 127.11bt (132 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.89;127.11
#gempa mag:5.2, 18-jan-23 23:10:51 wib, lok:10.69 ls,111.80 bt (287 km baratdaya kab-blitar-jatim), kedlmn:10 km, tdk berpotensi tsunami #bmkg;2022-01-18;blitar;jatim;-10.69;111.80
#gempa magnitudo: 5.2, kedalaman: 10 km, 18 jan 2023 23:10:51 wib, koordinat: 10.69 ls-111.80 bt (287 km baratdaya kab-blitar-jatim), tidak berpotensi tsunami #bmkg;2022-01-18;blitar;jatim;-10.69;111.80
"#gempa mag:5.2, 18-jan-2023 23:10:51wib, lok:10.67ls, 111.78bt (285 km baratdaya kab-blitar-jatim), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;blitar;jatim;-10.67;111.78
"#gempa mag:4.6, 18-jan-2023 23:06:38wib, lok:2.79lu, 127.11bt (142 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.79;127.11
"#gempa mag:3.2, 18-jan-2023 22:54:29wib, lok:2.67lu, 127.10bt (144 km baratlaut tobelo-malut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;tobelo;malut;2.67;127.10
"#gempa mag:4.9, 18-jan-2023 22:43:31wib, lok:2.94lu, 127.17bt (129 km tenggara melonguane-sulut), kedlmn:16 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.94;127.17
"#gempa mag:3.3, 18-jan-2023 22:40:54wib, lok:3.67ls, 101.65bt (66 km baratdaya bengkuluutara), kedlmn:20 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;bengkuluutara;;-3.67;101.65
"#gempa mag:4.4, 18-jan-2023 22:35:23wib, lok:2.25ls, 139.76bt (66 km timurlaut sarmi-papua), kedlmn:24 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;sarmi;papua;-2.25;139.76
"#gempa mag:3.0, 18-jan-2023 22:31:09wib, lok:2.92lu, 127.08bt (127 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.92;127.08
"#gempa mag:3.1, 18-jan-2023 22:28:04wib, lok:3.02lu, 127.21bt (123 km tenggara melonguane-sulut), kedlmn:26 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;3.02;127.21
"#gempa mag:3.4, 18-jan-2023 22:25:37wib, lok:2.71lu, 127.12bt (145 km baratlaut tobelo-malut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;tobelo;malut;2.71;127.12
"#gempa mag:4.5, 18-jan-2023 22:14:00wib, lok:2.86lu, 127.08bt (134 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.86;127.08
"#gempa mag:4.3, 18-jan-2023 22:04:23wib, lok:0.99lu, 126.08bt (117 km tenggara bitung-sulut), kedlmn:17 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;bitung;sulut;0.99;126.08
"#gempa mag:4.4, 18-jan-2023 21:51:34wib, lok:0.57ls, 133.66bt (46 km baratlaut pegununganarfak-papuabrt), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;pegununganarfak;papuabrt;-0.57;133.66
"#gempa mag:2.7, 18-jan-2023 21:50:26wib, lok:1.77lu, 127.79bt (22 km baratlaut tobelo-malut), kedlmn:20 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;tobelo;malut;1.77;127.79
"#gempa mag:4.8, 18-jan-2023 21:21:38wib, lok:2.90lu, 127.15bt (132 km tenggara melonguane-sulut), kedlmn:11 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.90;127.15
"#gempa mag:4.6, 18-jan-2023 20:39:42wib, lok:2.93lu, 127.09bt (127 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.93;127.09
"#gempa mag:4.1, 18-jan-2023 20:35:10wib, lok:2.85lu, 127.11bt (136 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.85;127.11
"#gempa mag:3.6, 18-jan-2023 20:18:36wib, lok:2.79lu, 127.05bt (140 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.79;127.05
"#gempa mag:3.1, 18-jan-2023 19:26:02wib, lok:2.44ls, 140.71bt (100 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;keerom;papua;-2.44;140.71
"#gempa mag:3.0, 18-jan-2023 19:21:41wib, lok:2.20lu, 127.62bt (66 km baratlaut tobelo-malut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;tobelo;malut;2.20;127.62
"#gempa mag:3.3, 18-jan-2023 19:16:26wib, lok:2.77lu, 127.23bt (142 km baratlaut daruba-malut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;daruba;malut;2.77;127.23
"#gempa mag:3.9, 18-jan-2023 19:10:56wib, lok:2.90lu, 127.10bt (130 km tenggara melonguane-sulut), kedlmn:33 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.90;127.10
"#gempa mag:4.0, 18-jan-2023 17:26:00wib, lok:2.86lu, 127.13bt (136 km tenggara melonguane-sulut), kedlmn:17 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.86;127.13
"#gempa mag:3.2, 18-jan-2023 17:11:35wib, lok:2.83lu, 128.52bt (90 km timurlaut daruba-malut), kedlmn:205 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;daruba;malut;2.83;128.52
"#gempa mag:3.8, 18-jan-2023 17:00:51wib, lok:2.84lu, 127.19bt (140 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.84;127.19
"#gempa mag:4.4, 18-jan-2023 16:39:05wib, lok:2.74lu, 127.06bt (146 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.74;127.06
"#gempa mag:3.9, 18-jan-2023 16:09:19wib, lok:2.97lu, 127.16bt (126 km tenggara melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;melonguane;sulut;2.97;127.16
"#gempa mag:3.2, 18-jan-2023 15:50:18wib, lok:2.25lu, 127.80bt (59 km baratlaut daruba-malut), kedlmn:139 km #bmkg 
disclaimer:informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data";2022-01-18;daruba;malut;2.25;127.80
