data;date;place;place2;latitude;longitude
"#gempa mag:5.0, 04-jan-2023 19:16:57wib, lok:2.41ls, 140.70bt (104 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;keerom;papua;-2.41;140.70
"#gempa mag:3.6, 04-jan-2023 18:31:40wib, lok:2.11lu, 128.26bt (7 km baratlaut daruba-malut), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;daruba;malut;2.11;128.26
#gempa (update) mag:3.6, 04-jan-23 16:10:00 wib, lok:2.45 ls, 140.71 bt (pusat gempa berada di laut 17 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) ii-iii kota jayapura #bmkg;2022-01-04;jayapura;;-2.45;140.71
#gempa dirasakan magnitudo: 3.6, kedalaman: 10 km, 04 jan 2023 16:10:00 wib, koordinat: 2.45 ls-140.71 bt (pusat gempa berada di laut 17 km timurlaut kota jayapura) #bmkg;2022-01-04;jayapura;;-2.45;140.71
#gempa (update) mag:4.1, 04-jan-23 15:42:05 wib, lok:2.39 ls, 140.71 bt (pusat gempa berada di laut 22 km tmurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) iii kota jayapura #bmkg;2022-01-04;jayapura;;-2.39;140.71
#gempa dirasakan magnitudo: 4.1, kedalaman: 10 km, 04 jan 2023 15:42:05 wib, koordinat: 2.39 ls-140.71 bt (pusat gempa berada di laut 22 km tmurlaut kota jayapura) #bmkg;2022-01-04;jayapura;;-2.39;140.71
"#gempa mag:3.7, 04-jan-2023 15:18:23wib, lok:2.49ls, 140.68bt (95 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;keerom;papua;-2.49;140.68
"#gempa mag:3.2, 04-jan-2023 13:24:44wib, lok:0.61lu, 127.68bt (17 km tenggara sofifi-malut), kedlmn:191 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;sofifi;malut;0.61;127.68
#gempa (update) mag:3.9, 04-jan-23 11:04:51 wib, lok:2.42 ls, 140.75 bt (pusat gempa berada di laut 22 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) ii - iii kota jayapura #bmkg;2022-01-04;jayapura;;-2.42;140.75
#gempa dirasakan magnitudo: 3.9, kedalaman: 10 km, 04 jan 2023 11:04:51 wib, koordinat: 2.42 ls-140.75 bt (pusat gempa berada di laut 22 km timurlaut kota jayapura) #bmkg;2022-01-04;jayapura;;-2.42;140.75
"#gempa mag:3.5, 04-jan-2023 10:57:13wib, lok:0.61lu, 126.60bt (87 km baratdaya ternate-malut), kedlmn:14 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;ternate;malut;0.61;126.60
"#gempa mag:4.4, 04-jan-2023 10:22:12wib, lok:0.72ls, 98.64bt (161 km baratdaya agam-sumbar), kedlmn:11 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;agam;sumbar;-0.72;98.64
#gempa (update) mag:3.7, 04-jan-23 09:53:17 wib, lok:2.42 ls, 140.71 bt (pusat gempa berada di laut 20 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) ii - iii kota jayapura #bmkg;2022-01-04;jayapura;;-2.42;140.71
#gempa dirasakan magnitudo: 3.7, kedalaman: 10 km, 04 jan 2023 09:53:17 wib, koordinat: 2.42 ls-140.71 bt (pusat gempa berada di laut 20 km timurlaut kota jayapura) #bmkg;2022-01-04;jayapura;;-2.42;140.71
#gempa (update) mag:3.4, 04-jan-23 09:39:36 wib, lok:2.56 ls, 140.68 bt (pusat gempa berada di darat 8 km timurlaut kota jayapura), kedlmn:5 km dirasakan (mmi) ii kota jayapura #bmkg;2022-01-04;jayapura;;-2.56;140.68
#gempa dirasakan magnitudo: 3.4, kedalaman: 5 km, 04 jan 2023 09:39:36 wib, koordinat: 2.56 ls-140.68 bt (pusat gempa berada di darat 8 km timurlaut kota jayapura) #bmkg;2022-01-04;jayapura;;-2.56;140.68
#gempa (update) mag:3.6, 04-jan-23 08:42:59 wib, lok:2.36 ls, 140.72 bt (pusat gempa berada di laut 26 km timurlaut kota jayapura), kedlmn:6 km dirasakan (mmi) ii - iii kota jayapura #bmkg;2022-01-04;jayapura;;-2.36;140.72
#gempa dirasakan magnitudo: 3.6, kedalaman: 6 km, 04 jan 2023 08:42:59 wib, koordinat: 2.36 ls-140.72 bt (pusat gempa berada di laut 26 km timurlaut kota jayapura) #bmkg;2022-01-04;jayapura;;-2.36;140.72
#gempa (update) mag:4.2, 04-jan-23 08:39:41 wib, lok:2.46 ls, 140.69 bt (pusat gempa berada di darat 15 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) iii jayapura #bmkg;2022-01-04;jayapura;;-2.46;140.69
#gempa dirasakan magnitudo: 4.2, kedalaman: 10 km, 04 jan 2023 08:39:41 wib, koordinat: 2.46 ls-140.69 bt (pusat gempa berada di darat 15 km timurlaut kota jayapura) #bmkg;2022-01-04;jayapura;;-2.46;140.69
"#gempa mag:4.4, 04-jan-2023 08:39:40wib, lok:2.40ls, 140.70bt (105 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;keerom;papua;-2.40;140.70
#gempa (update) mag:3.2, 04-jan-23 07:03:30 wib, lok:2.74 ls, 140.51 bt (pusat gempa berada di darat 2i km tenggara kab. jayapura), kedlmn:20 km dirasakan (mmi) ii kab. jayapura #bmkg;2022-01-04;jayapura;;-2.74;140.51
#gempa dirasakan magnitudo: 3.2, kedalaman: 20 km, 04 jan 2023 07:03:30 wib, koordinat: 2.74 ls-140.51 bt (pusat gempa berada di darat 2i km tenggara kab. jayapura) #bmkg;2022-01-04;jayapura;;-2.74;140.51
#gempa (update) mag:3.2, 04-jan-23 02:19:33 wib, lok:2.43 ls, 140.79 bt (pusat gempa berada di laut 25 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) ii kota jayapura #bmkg;2022-01-04;jayapura;;-2.43;140.79
#gempa dirasakan magnitudo: 3.2, kedalaman: 10 km, 04 jan 2023 02:19:33 wib, koordinat: 2.43 ls-140.79 bt (pusat gempa berada di laut 25 km timurlaut kota jayapura) #bmkg;2022-01-04;jayapura;;-2.43;140.79
"#gempa mag:3.6, 04-jan-2023 01:38:45wib, lok:5.50lu, 94.60bt (90 km baratdaya kota-sabang-aceh), kedlmn:17 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;sabang;aceh;5.50;94.60
"#gempa mag:1.6, 04-jan-2023 01:32:12wib, lok:6.86ls, 107.04bt (11 km baratdaya kab-cianjur-jabar), kedlmn:15 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;cianjur;jabar;-6.86;107.04
#gempa (update) mag:4.1, 04-jan-23 00:57:09 wib, lok:2.45 ls, 140.71 bt (pusat gempa berada di laut 17 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) ii - iii kota jayapura #bmkg;2022-01-04;jayapura;;-2.45;140.71
#gempa dirasakan magnitudo: 4.1, kedalaman: 10 km, 04 jan 2023 00:57:09 wib, koordinat: 2.45 ls-140.71 bt (pusat gempa berada di laut 17 km timurlaut kota jayapura) #bmkg;2022-01-04;jayapura;;-2.45;140.71
#gempa (update) mag:4.5, 04-jan-23 00:55:42 wib, lok:2.43 ls, 140.77 bt (pusat gempa berada di laut 23 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) ii - iii kota jayapura #bmkg;2022-01-04;jayapura;;-2.43;140.77
#gempa dirasakan magnitudo: 4.5, kedalaman: 10 km, 04 jan 2023 00:55:42 wib, koordinat: 2.43 ls-140.77 bt (pusat gempa berada di laut 23 km timurlaut kota jayapura) #bmkg;2022-01-04;jayapura;;-2.43;140.77
"#gempa mag:4.4, 04-jan-2023 00:55:45wib, lok:2.52ls, 140.64bt (92 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;keerom;papua;-2.52;140.64
"#gempa mag:3.7, 04-jan-2023 00:55:37wib, lok:0.25lu, 120.00bt (76 km timurlaut donggala-sulteng), kedlmn:79 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;donggala;sulteng;0.25;120.00
"#gempa mag:3.9, 04-jan-2023 00:29:47wib, lok:5.41lu, 128.08bt (221 km timurlaut melonguane-sulut), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;melonguane;sulut;5.41;128.08
#gempa (update) mag:4.1, 04-jan-23 00:11:39 wib, lok:2.35 ls, 140.78 bt (pusat gempa berada di laut 30 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) ii - iii kota jayapura #bmkg;2022-01-04;jayapura;;-2.35;140.78
#gempa dirasakan magnitudo: 4.1, kedalaman: 10 km, 04 jan 2023 00:11:39 wib, koordinat: 2.35 ls-140.78 bt (pusat gempa berada di laut 30 km timurlaut kota jayapura) #bmkg;2022-01-04;jayapura;;-2.35;140.78
"#gempa mag:4.0, 04-jan-2023 00:11:39wib, lok:2.39ls, 140.73bt (106 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;keerom;papua;-2.39;140.73
"#gempa mag:2.8, 04-jan-2023 00:05:59wib, lok:2.40ls, 140.68bt (105 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;keerom;papua;-2.40;140.68
#gempa dirasakan magnitudo: 5.5, kedalaman: 10 km, 27 feb 2023 08:26:02 wib, koordinat: 1.59 ls-120.21 bt (pusat gempa berada di darat 42 km tenggara sigi) #bmkg;2022-02-27;sigi;;-1.59;120.21
"#gempa mag:3.2, 04-jan-2023 00:00:13wib, lok:2.41ls, 140.76bt (103 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-04;keerom;papua;-2.41;140.76
"#gempa mag:2.5, 03-jan-2023 23:55:16wib, lok:2.46ls, 140.69bt (98 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;keerom;papua;-2.46;140.69
"#gempa mag:2.7, 03-jan-2023 23:46:21wib, lok:2.42ls, 140.82bt (102 km timurlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;keerom;papua;-2.42;140.82
